recordId,steamAppId
recvqJjvjOkx7C,534380
recvqJjvjO5atY,1478500
recvqJjvjOTT2q,1262350
recvod9tLM3SFl,3595270
recvod9tLMaptT,1676840
recvod9tLMYvCJ,368340
recvmcevuGBNEc,
recvmcevuG4L3g,2515020
recvmcevuG1IIG,379430
recvmcevuGo1SR,2513280
recvmcevuGU7Gt,1874000
recvmcevuGP2Is,2300320
recvmcevuGQtbV,2091020
recvmcevuG236q,582660
recvkOhIHj4RTV,962130
recvkOhIHjwyvB,2017080
recvkOhIHjDkXU,1361210
recvjyzXpKooPD,
recvjyzXpKUFQ7,2842040
recvjyzXpK4aj4,1174180
recvjyzXpKlYTk,1623940
recvjyzXpKHu1Q,1684350
recvjyzXpKqU6d,1832040
recvjyzXpKLcW6,2544110
recvjyzXpKzlwn,2102450
recvieE7YAuC5g,3405690
recvieE7YAyH4I,2277560
recvieE7YA7G9W,1809540
recvgVFr4bahJG,
recvgVFr4bTXgT,2561580
recvgVFr4bQlDr,2698940
recvgVFr4bpZeQ,3551340
recvgVFr4bpmIw,3178350
recvgVFr4bVrRf,2067050
recvgVFr4bfZMt,2223840
recvgVFr4ba5nJ,1102190
recvfAUWBzvo60,1501750
recvfAUWBzxSgU,2478970
recvfAUWBz05GH,1858630
recvdDrluJiXeZ,
recvdDrluJkTuz,2183900
recvdDrluJKrcm,1687950
recvdDrluJIuew,3230400
recvdDrluJce84,990380
recvdDrluJOdbI,2933130
recvdDrluJRH38,361420
recvdDrluJC9JT,2114740
recvc7RbvAL3KY,2385530
recvc7RdcbJDVI,1446780
recvc7TmGLu8ua,1657630
recvciklXzB7eN,306130
recvb4ksQWFTMr,331750
recvaTJY5b1BlV,2651280
recvaTJY5bfQF9,1249970
recvaTJY5bJPdn,2420660
recvb4kyupDylZ,695330
recvb4kyupg4cb,1277400
recvb4kyup34pA,2356560
recvb4kyupPmpY,1491670
recvb4kyup267F,2821610
recvb4kurTSnPC,2340870
recv9oWs7D3b3E,1451190
recv9p1iP98zcm,848450
recv9p6ct4uhHk,2386310
recv9Ex7tgoxXK,502500
recv8eXFoWmvQj,
recv8ePaKCio3m,1196590
recv8ePaKC9xjT,2072450
recv8ePaKCY6z1,2477340
recv8ePaKCJWqw,2233120
recv8kItMSGJKh,1940340
recv8ePaKCru2U,2653790
recv8ePaKCQbSi,550320
recv8kIzbDeOix,1629520
recv841wy0nzMr,1846380
recv841yeS1jdW,1522160
recv841yeSXqLs,1621690
rec26BbSD54f92,
rec26BbSD54dLq,3035570
rec26BbSD54e1e,1448440
rec26BbSD54eaF,881020
rec26BbSD54ej1,2688950
rec26BbSD54esz,2305840
rec26BbSD54eIT,2428810
rec26BbSD54eRH,1770490
rec26BbSD54f0B,1952520
rec26BbSD54fhg,1263240
rec26BbSD54fq7,2668510
recv841yeS2zPX,2428810
recv841yeSiUd4,1430190
recv841yeSgAkQ,1304930
recv841yeS0Jrw,1245480
recv841yeSndUy,1533420
rec26BbSD54gYZ,8000
rec26BbSD54fxi,3240220
rec26BbSD54fFt,1458140
rec26BbSD54fMH,1622910
rec26BbSD54gjy,581320
rec26BbSD54gsl,2366980
rec26BbSD54gAN,835960
rec26BbSD54gIP,2350280
rec26BbSD54gR5,3077390
recv7NjFOzp7Ji,2383760
recv83nQgyQb6w,418240
recv83nQgyWhuL,281990
recv841yeSGtlK,1332010
recv841yeSD3Pc,1849250
recv841yeSot02,508440
recv83nQgynakV,
recv83nQgy5V8H,2124490
recv83nQgyBou0,2172010
recv83nQgyhrCI,1604030
recv83nQgySV8D,1235140
recv9oTjPZSQQW,1235140
recv83nQgy2I82,1721470
recv83nQgygh7c,1341820
recv83nQgyW61K,1150530
recv841yeSUaWJ,
recv841yeS2XIN,850190
recv841yeScD92,1497440
recv83nQgy8HnZ,224300
recv83nQgy7114,2531310
recv83nQgyWsFp,2878960
recv83nQgyICNw,2254740
recv83nQgyMLUF,815370
recv83nQgylz7w,1902690
recv83nQgyksaG,1996010
recv83nQgyGdTY,731040
recv83nQgyeajW,1286990
recv841yeSKVrs,607080
recv841yeS5y0O,1382070
recv841yeS9r1b,1149440
recv83nQgyn9Wu,883710
recv83nQgydoWN,4249120
recv83nQgykcvg,1971870
recv83nQgyzxwj,1817070
recv83nQgyOvON,2453160
recv83nQgy2Tfy,2291060
recv83nQgyxdG9,
recv83nQgywBr2,
recv83nQgyRe3B,1373960
recv83nQgyfZn4,924750
recv83nQgy1D7m,1158160
recv841yeSjFhg,1627720
recv841yeSI6cY,221100
recv83nQgyBIa4,
recv83nQgyUpLC,
recv83nQgyhVFN,1091500
recv83nQgyIxue,427410
recv83nQgyRkyG,1493640
recv83nQgyQJ7G,2078350
recv83nQgy0YZu,703080
recv83nQgyGbX0,632360
recv83nQgyK6qi,492720
recv83nQgykxUx,1063730
recv841yeS8wRz,2344520
recv841yeSMRXQ,1498570
recv841yeS8KlM,1977170
recv83nQgyCnYb,1255560
recv83nQgygFKh,1712350
recv83nQgyU6cg,2272540
recv83nQgyiN4h,1517290
recv83nQgyaqB1,2287520
recv83nQgyGSSS,518790
recv83nQgyOupq,1730700
recv83nQgyvhqq,1658280
recv83nQgyRwz1,2967990
recv83nQgy8S2m,1485590
recv83nQgyS367,1546970
recv83nQgyicty,2648100
recv83nQgyhyFZ,2853730
recv841yeSnRVC,2878980
recv841yeSNhOF,1310410
recv841yeSSCAx,1353230
recv841yeSjxDF,2336880
recv83nQgyxAjO,1346400
recv83nQgyKc1t,1887840
recv83nQgy1Yg2,1979440
recv83nQgyqTVt,1777620
recv83nQgyPxRh,732690
recv83nQgylo7v,1238810
recv83nQgyfbSH,s1323391
recv83nQgyxlfw,2157560
recv83nQgyRkYt,477160
recv83nQgyCtpV,2111170
recv83nQgyPZT0,780290
recv83nQgyh5OF,979690
recv841yeS8gWO,2399830
recv841yeSSpxi,2379780
recv841yeSQB8I,2005010
recv83nQgysM5O,548890
recv83nQgyJgMr,
recv83nQgynfwW,990080
recv83nQgyTXB2,1569580
recv83nQgyymiy,1902960
recv83nQgyV1wI,1677350
recv83nQgyBCVk,1238840
recv83nQgyGHmc,1599600
recv841yeS6c4S,1681430
recv841yeShmWY,1433140
recv841yeSU9Aw,1042550
recv83nQgyOIVm,2676160
recv83nQgyIOHp,
recv83nQgyMrA4,
recv83nQgySkWU,
recv83nQgyKUsy,
recv83nQgyCQpu,2751000
recv83nQgyUWBy,1163550
recv83nQgyaByd,
recv83nQgycMZQ,1388870
recv83nQgyzBFt,1227650
recv83nQgypSKz,2233280
recv83nQgyLz7Y,1410640
recv841yeSL1T1,1845910
recv841yeSCoiK,2055290
recv841yeS7OXS,1659600
recv83nQgyZ6UL,
recv83nQgyDLTy,
recv83nQgyZj3o,1774580
recv83nQgysC3X,1785650
recv83nQgyCICJ,1902960
recv83nQgyUxCr,1295270
recv83nQgyIPYD,1671410
recv83nQgy9aJ1,1831700
recv83nQgyzJyW,629760
recv841yeSgj1g,1272080
recv841yeSFYrK,1859470
recv841yeSwrjF,1575640
recv83nQgyPzA7,
recv83nQgyQHlE,
recv83nQgyjntQ,2322010
recv83nQgyRJzO,2375550
recv83nQgyGaHW,1230530
recv83nQgy0bLD,824550
recv83nQgyhjIm,1122720
recv83nQgyROCG,1368030
recv83nQgygCxY,1522820
recv83nQgyh0ps,1578650
recv83nQgyX7dm,1174460
recv841yeSJGgS,315210
recv841yeSXPm9,1328660
recv841yeS7GME,1018800
